timeCounter;accXFilt;accYFilt;accZ;trackVoltage;motorCurrent
10711;42553;36864;2050;2540;47
10731;42553;36434;4032;2575;37
10751;42553;37886;1574;2562;30
10771;41788;39023;3249;2567;30
10792;41788;38588;2605;2555;35
10812;41788;36088;3067;2568;38
10832;41788;38114;2273;2559;38
10852;41788;39784;2159;2560;43
10873;41788;37916;3780;2556;24
10893;41788;37049;2014;2552;28
10913;41828;38832;4071;2558;31
10933;41828;40369;2661;2561;46
10954;41828;39062;3048;2543;24
10974;41828;37230;1737;2560;28
10994;41828;36619;4083;2560;51
11014;41828;37892;1452;2564;34
11035;42661;38806;2056;2578;25
11055;42661;36066;2629;2589;29
11075;42661;37853;4087;2571;50
11095;42661;37945;2712;2560;37
11116;42661;37752;2453;2569;24
11136;42661;37132;2077;2563;31
11156;43279;36342;4001;2580;28
11176;43279;39054;1620;2552;37
11197;43279;37604;4057;2547;33
11217;43279;36356;3560;2574;38
11237;43279;35184;1802;2568;32
11257;43279;37792;2224;2572;24
11278;43279;37664;1392;2530;51
11298;43391;36133;2296;2560;41
11318;43391;37297;3920;2587;44
11338;43391;38787;3510;2578;32
11359;43391;38219;3269;2567;36
11379;43391;36782;3797;2563;53
11399;43391;36880;2638;2566;40
11419;43324;37722;2027;2569;27
11440;43324;37152;3500;2564;33
11460;43324;36764;4045;2559;31
11480;43324;39174;2030;2560;50
11500;43324;36422;1482;2538;60
11521;43324;36524;3907;2547;42
11541;43057;37326;3481;2571;35
11561;43057;38612;3146;2572;42
11581;43057;36740;1667;2560;31
11602;43057;34966;3217;2532;42
11622;43057;38166;3302;2548;39
11642;43057;36540;2934;2572;36
11662;43057;37146;1628;2563;43
11683;42559;37080;1151;2548;41
11703;42559;37063;3044;2579;27
11723;42559;34812;4085;2554;43
11743;42559;34610;4066;2568;60
11764;42559;36476;2911;2549;48
11784;42559;33632;2711;2518;53
11804;42058;33464;3113;2527;47
11824;42058;35529;2226;2544;44
11845;42058;36412;2613;2541;36
11865;42058;33937;3065;2539;32
11885;42058;34126;2892;2552;40
11905;42058;34795;2324;2562;52
11926;41311;34680;1894;2555;42
11946;41311;33920;3233;2539;38
11966;41311;36137;2898;2539;39
11986;41311;33689;2106;2557;57
12007;41311;33414;2088;2541;66
12027;41311;35358;3105;2554;32
12047;41311;36766;1999;2552;37
12067;39027;33284;1860;2552;42
12088;39027;33010;1495;2545;36
12108;39027;37219;1982;2543;40
12128;39027;36031;2651;2555;47
12148;39027;33847;2962;2550;39
12169;39027;34648;4079;2566;42
12189;35343;37805;2781;2573;26
12209;35343;35481;3137;2563;51
12229;35343;32854;1696;2549;44
12250;35343;35495;2607;2559;34
12270;35343;37488;2993;2566;34
12290;35343;34138;2914;2564;28
12310;32770;33173;2074;2547;57
12331;32770;35293;2483;2565;35
12351;32770;37014;2972;2578;35
12371;32770;34504;2953;2552;22
12391;32770;33794;3011;2531;56
12412;32770;34430;2439;2554;35
12432;32770;36986;2624;2564;33
12452;32174;35322;3141;2573;22
12472;32174;34554;3016;2562;57
12493;32174;34457;2263;2546;32
12513;32174;35567;2647;2504;32
12533;32174;34669;3042;2575;24
12553;32174;33565;1843;2550;43
12574;32323;33771;2360;2552;35
12594;32323;36238;2309;2505;15
12614;32323;35422;2687;2538;41
12634;32323;33539;4082;2579;29
12655;32323;34334;2014;2552;27
12675;32323;37612;2996;2520;24
12695;32270;36391;2320;2574;27
12715;32270;33119;4082;2609;37
12736;32270;33829;3717;2573;56
12756;32270;36533;2059;2570;25
12776;32270;36326;2713;2554;36
12796;32270;34858;2814;2579;26
12817;32270;35143;2670;2574;25
12837;31970;35051;2771;2551;33
12857;31970;34083;2278;2550;22
12877;31970;35610;2226;2581;39
12898;31970;36151;2814;2540;24
12918;31970;35297;2314;2572;19
12938;31970;33607;2679;2591;31
12958;31885;34540;3657;2590;25
12979;31885;38646;2496;2563;31
12999;31885;40253;2550;2584;20
13019;31885;36900;2972;2563;51
13039;31885;40020;1502;2586;24
13060;31885;41262;2552;2579;33
13080;32046;38929;2666;2602;34
13100;32046;44502;2305;2592;38
13120;32046;43627;2179;2583;20
13141;32046;39789;2662;2569;32
13161;32046;38194;4017;2582;26
13181;32046;39711;1798;2607;25
13201;30816;41146;3299;2603;38
13222;30816;40453;2438;2604;31
13242;30816;36845;3172;2609;33
13262;30816;38798;2714;2604;44
13282;30816;37194;2370;2591;27
13303;30816;37062;2397;2594;26
13323;30816;36404;1959;2605;32
13343;26082;37937;3157;2608;35
13363;26082;37573;2047;2606;26
13384;26082;36339;2165;2600;34
13404;26082;36193;3024;2570;42
13424;26082;39681;2694;2603;30
13444;26082;35811;3191;2575;43
13465;20335;35222;2699;2576;32
13485;20335;35842;3342;2575;44
13505;20335;37184;2640;2585;31
13525;20335;37374;2302;2579;45
13546;20335;34463;2639;2576;42
13566;20335;33576;2635;2559;33
13586;18023;36296;2493;2572;50
13606;18023;34336;4061;2583;40
13627;18023;34293;1574;2580;38
13647;18023;33039;3851;2554;37
13667;18023;35131;2743;2579;40
13687;18023;36207;2412;2595;43
13708;18023;35327;2799;2572;35
13728;18593;33053;3197;2557;46
13748;18593;37833;3933;2550;56
13768;18593;37204;2704;2551;43
13789;18593;39625;2687;2558;55
13809;18593;40471;2345;2576;49
13829;18593;36560;3663;2542;61
13849;19518;40136;2579;2546;63
13870;19518;37531;2188;2536;46
13890;19518;37072;2772;2561;60
13910;19518;37063;2333;2561;42
13930;19518;35068;3119;2557;62
13951;19518;35927;3477;2544;55
13971;20280;36052;2202;2533;49
13991;20280;35678;1854;2539;79
14011;20280;35197;4082;2562;60
14032;20280;34859;2505;2546;66
14052;20280;35314;3636;2531;60
14072;20280;35487;2536;2531;75
14092;20280;35297;2382;2559;66
14113;21508;36033;1609;2579;57
14133;21508;36638;2678;2574;64
14153;21508;36008;2082;2568;71
14173;21508;37071;3183;2560;57
14194;21508;35965;2951;2564;47
14214;21508;34569;3136;2568;68
14234;22936;34439;2397;2582;68
14254;22936;36627;3663;2575;90
14275;22936;35554;1895;2577;50
14295;22936;35189;2388;2535;56
14315;22936;36293;2300;2561;53
14335;22936;34765;2859;2536;88
14356;23945;36838;2979;2554;74
14376;23945;36674;2418;2568;64
14396;23945;37742;2928;2553;62
14416;23945;35071;3186;2563;67
14437;23945;33919;2442;2561;72
14457;23945;35659;2319;2559;61
14477;23945;35250;2128;2559;82
14497;24856;36762;3923;2563;72
14518;24856;34993;2449;2567;71
14538;24856;36184;2097;2565;80
14558;24856;36572;3425;2558;72
14578;24856;34433;2863;2555;74
14599;24856;34556;3715;2555;61
14619;25391;34270;3026;2568;64
14639;25391;32848;1930;2554;42
14659;25391;31166;2646;2535;91
14680;25391;32783;2916;2539;80
14700;25391;31889;2497;2550;74
14720;25391;33789;2484;2559;76
14740;25500;32221;2399;2557;54
14761;25500;31609;2921;2550;76
14781;25500;32224;3112;2547;91
14801;25500;31930;4009;2559;68
14821;25500;33813;2215;2551;40
14842;25500;31838;2395;2544;87
14862;25500;33642;3355;2544;76
14882;26429;33238;3400;2559;60
14902;26429;33233;3263;2564;58
14923;26429;34189;2442;2548;79
14943;26429;32817;3122;2527;80
14963;26429;34436;2475;2542;38
